year,dhw_max,dhw_mean,days_no_stress,days_watch,days_warning,days_alert1,days_alert2,sst_max,sst_mean
1998,1.0042635927555885,0.3002069102899268,206,75,0,0,0,31.467375855178368,28.859798649961725
1999,0.0,0.0,364,0,0,0,0,29.626040262301657,28.285549195724954
2000,0.0,0.0,365,0,0,0,0,29.565052422649625,28.26782859511272
2001,0.0,0.0,364,0,0,0,0,30.414702133568383,28.45200902023793
2002,0.0,0.0,364,0,0,0,0,30.42468659746091,28.644403245171226
2003,0.0,0.0,364,0,0,0,0,30.90150755463839,28.694001418728547
2004,0.0,0.0,365,0,0,0,0,30.85328286939342,28.562501719801695
2005,0.0,0.0,364,0,0,0,0,30.947197836866245,28.644141276610917
2006,0.0,0.0,364,0,0,0,0,30.330839894761684,28.628633562627524
2007,0.0,0.0,364,0,0,0,0,30.41572463191654,28.549394857174374
2008,0.0,0.0,365,0,0,0,0,30.07525623014325,28.711379806019746
2009,0.0,0.0,364,0,0,0,0,30.362611951976657,28.740610877207004
2010,3.811109786603916,0.879486873831673,263,36,65,0,0,31.54643204812009,29.20073851293853
2011,0.0,0.0,364,0,0,0,0,30.42709211438416,28.71023171722051
2012,0.0,0.0,365,0,0,0,0,29.95216435140295,28.630099494893148
2013,0.0,0.0,364,0,0,0,0,30.598120378216663,28.800759657901686
2014,0.6054598659012552,0.13972150751567428,364,0,0,0,0,31.22183727178657,28.815977770203073
2015,0.0,0.0,364,0,0,0,0,30.54441827116396,29.104950679256763
2016,6.100748652634323,1.4040079090994058,258,22,34,51,0,31.65441310774793,29.188950901731744
2017,0.0,0.0,364,0,0,0,0,30.509341233562147,28.8985796102803
2018,0.4401643647305263,0.10157639186089068,364,0,0,0,0,31.153179726626675,29.018829443542646
2019,0.0,0.0,364,0,0,0,0,30.64482031603601,29.1110878449289
2020,0.0,0.0,365,0,0,0,0,30.68076568906623,29.080152773776888
2021,0.29636868816623363,0.06839277419220775,364,0,0,0,0,31.17327691252347,29.11475898999052
2022,1.2072722097402864,0.27860127917083527,284,80,0,0,0,31.42976354335792,29.036070260454675
2023,0.0,0.0,364,0,0,0,0,30.978330465543493,29.036161410291022
2024,6.242228122038234,1.4365675678115388,263,17,28,57,0,31.95171248452768,29.539456441037327
2025,0.0,0.0,362,0,0,0,0,30.324708429349823,29.079952092887535
